unit,hardness,thickness_mm,ball4_N,ball4_depth_mm,ball8_N,ball8_depth_mm,force_ratio,depth_ratio
soft_1mm_r1,soft,1,7.846187409128047,0.8282917758339856,23.41254982668352,0.9599031401923668,2.9839396646893723,1.1588949307457086
soft_1mm_r2,soft,1,8.468353444083665,1.1716026180060624,22.449198933907432,1.3153767166200367,2.6509520513213056,1.1227157539632866
soft_2mm_r1,soft,2,6.405215407156595,1.4752321560684436,17.71834051220396,1.5753167070132683,2.7662364785432705,1.0678432547264658
soft_2mm_r2,soft,2,6.802880733671438,1.5084007172497174,14.735948722276902,1.496014633415438,2.166133627676297,0.9917885985516748
soft_3mm_r1,soft,3,5.266272933010308,1.817245431635424,11.76112258608135,1.796520162529884,2.233291501539868,0.9885952283908682
soft_3mm_r2,soft,3,7.114780330765035,2.136691929409455,11.09157022794685,1.92658814951654,1.5589476712282695,0.901668660324381
medium_1mm_r1,medium,1,7.521938639870854,1.1024184236638277,18.21929859107194,1.0912059627263702,2.4221546416901845,0.9898292148454908
medium_1mm_r2,medium,1,8.927928983453356,1.1137343618566111,22.072333152914783,1.158726017423568,2.472279203141368,1.0403971154234255
medium_2mm_r1,medium,2,5.195311888728128,1.6014551979600462,14.138581849754152,1.6478677457603972,2.721411563457731,1.028981483752697
medium_2mm_r2,medium,2,7.330577210347362,1.4455435243355907,22.590942160303705,1.528356973132368,3.08174124793554,1.0572887964994624
medium_3mm_r1,medium,3,6.634052774018221,2.2170745818890225,14.4159646485878,2.067055300283876,2.1730253194618627,0.9323345805185655
medium_3mm_r2,medium,3,6.471092957569394,2.256683940930021,15.034245909708702,2.160886736672076,2.323293145112802,0.9575495697379468
hard_1mm_r1,hard,1,9.84857194359586,1.1207383017064672,19.45536450623125,1.0952844868099518,1.9754503107308168,0.9772883510291754
hard_1mm_r2,hard,1,5.194252392097544,0.9152609477115696,16.95072029347406,0.9620606494110469,3.263360925484218,1.0511326325202563
hard_2mm_r1,hard,2,7.369257710949978,1.5522382917563746,22.41093170485956,1.68118929727925,3.041138277951545,1.0830742330012784
hard_2mm_r2,hard,2,9.029345784596403,1.6302656865925904,17.73768481074213,1.467904162329777,1.9644485031243013,0.9004079362044574
hard_3mm_r1,hard,3,7.880387980449271,2.201433003320613,11.83434462780252,1.822673700226528,1.501746444104371,0.8279487486002209
hard_3mm_r2,hard,3,7.864814161882879,1.9808530848001349,13.673424114011729,1.6889990863531956,1.738556542159699,0.8526624711916044
